OrganizationName,OrganizationID,RepositoryURL,bom-ref,type,group,name,version,purl,dependsOn
,,https://github.com/Cloud-Native-Security/website,02575577-398a-4dd3-b6d2-c1eadcf3ace9,library,,supports-hyperlinks,2.3.0,pkg:npm/supports-hyperlinks@2.3.0,"79935ef2-1b3d-49dd-98d4-df194d9bbcf4, b6d51ddb-8a82-4e89-9167-671b7d6d5eb4"
,,https://github.com/Cloud-Native-Security/website,028657ad-b1b4-47d2-b240-a5c996cb54af,library,,tr46,1.0.1,pkg:npm/tr46@1.0.1,69913c08-b81e-4de3-a162-40578e494fe5
,,https://github.com/Cloud-Native-Security/website,02abca51-1b77-4688-b642-d58a9531f4a8,library,,aria-query,5.1.3,pkg:npm/aria-query@5.1.3,2c640d68-36c5-4d92-9886-c2603784f643
,,https://github.com/Cloud-Native-Security/website,02ad6b38-3dac-4b0c-8bf6-f4fe3475fe66,library,,acorn-globals,6.0.0,pkg:npm/acorn-globals@6.0.0,"61322f39-1b54-470d-8647-e22388fbaea7, 8dfd7d9d-5ded-4924-b1f9-9f60ecbf93e0"
,,https://github.com/Cloud-Native-Security/website,02dff483-2cf8-473e-ae6c-90d3b953a499,library,,body-parser,1.20.1,pkg:npm/body-parser@1.20.1,"07221c4e-90f8-439f-8c60-71bfe5be2076, 244927e5-0c94-4f36-b5c6-b2e96585fb6f, 2affd0d1-24a9-4ba3-ad07-8a4d9f5054a4, 3a8d0361-cc6d-4037-a49b-1116817d804e, 403320ea-f581-435d-9fda-226c1d52edd0, 61b894b2-bafa-498b-b9d0-efa7bfac2bc3, 68e0d56d-3b0d-4f92-bc48-5e3f2917f4be, 9b163c38-bed6-47c2-a81a-2e982ba17abe, a61baad4-b84a-4c11-a9aa-a74d89fca4ed, b9d2c76a-ea0e-4505-afc2-8379dddd00a8, e1c78770-c631-4b29-bd89-c31a141ae27a, fd369633-59cc-4f12-8232-caa9bbd2e8e2"
,,https://github.com/Cloud-Native-Security/website,02fa12ff-6707-4378-a77f-13366bb80b36,library,,safe-regex-test,1.0.3,pkg:npm/safe-regex-test@1.0.3,"c0fee513-6c97-4ff7-b925-f95334724cfb, c49cc8a6-6afa-49cc-a6a9-44a9883b2e83, d3a7b6cc-e17b-40d5-93dd-d4d866dbb2c8"
,,https://github.com/Cloud-Native-Security/website,032a8530-f3bd-48e4-b48b-db6693d74e66,library,@svgr,hast-util-to-babel-ast,5.5.0,pkg:npm/%40svgr/hast-util-to-babel-ast@5.5.0,b3938863-e3f0-4ca7-94d6-c8a485dca9c4
,,https://github.com/Cloud-Native-Security/website,0344fdde-0435-40f6-ae6f-74e6fcdbde79,library,,watchpack,2.4.0,pkg:npm/watchpack@2.4.0,"2ffa6bd0-be91-43d3-a420-c6ce03e1855f, 37d41038-49af-4497-b151-c59ae1fd4dfe"
,,https://github.com/Cloud-Native-Security/website,03478f0e-9156-4bae-a282-bfc459fd84b6,library,,es-array-method-boxes-properly,1.0.0,pkg:npm/es-array-method-boxes-properly@1.0.0,
,,https://github.com/Cloud-Native-Security/website,03707472-77ce-43f1-ac83-03a0e38118d4,library,@babel,plugin-transform-numeric-separator,7.23.4,pkg:npm/%40babel/plugin-transform-numeric-separator@7.23.4,"5c3f61a3-4f3e-42de-bea5-00a1507240a0, 92d95175-84df-471b-895e-0efe7c06f5ad"
